Organism,Protein,COG,Cat,Annotation
412,637,COG2920,J,"tRNA U34 sulfur transfer complex TusBCD TusE component, DsrC family"
566,567,COG2921,T,"Putative lipoate-binding regulatory protein, UPF0250 family"
307,312,COG2923,J,"tRNA U34 sulfur transfer complex TusBCD TusC component, DsrF family"
538,543,COG2924,O P,Fe-S cluster biosynthesis and repair protein YggX
388,395,COG2925,L,Exonuclease I (degrades ssDNA)
766,767,COG2927,L,"DNA polymerase III, chi subunit"
359,738,COG2929,V,"Ribonuclease BrnT, toxin component of the BrnT-BrnA toxin-antitoxin system"
660,3860,COG2931,Q,"Ca2+-binding protein, RTX toxin-related"
821,1283,COG2932,X,"Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains"
323,330,COG2933,J,23S rRNA C2498 (ribose-2'-O)-methylase RlmM
689,694,COG2935,O,Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase
371,413,COG2937,I,Glycerol-3-phosphate O-acyltransferase
730,731,COG2938,O,"Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module"
384,410,COG2941,H,"Demethoxyubiquinone hydroxylase, CLK1/Coq7/Cat5 family (ubiquinone biosynthesis)"
573,762,COG2942,G,"Mannose or cellobiose epimerase, N-acyl-D-glucosamine 2-epimerase family"
374,427,COG2943,M G,Membrane glycosyltransferase
668,1127,COG2944,K,"DNA-binding transcriptional regulator YiaG, XRE-type HTH domain"
793,904,COG2945,R,Alpha/beta superfamily hydrolase
780,795,COG2947,R,"Predicted RNA-binding protein, contains EVE domain"
967,1673,COG2951,M,Membrane-bound lytic murein transglycosylase B
685,781,COG2957,E,Agmatine/peptidylarginine deiminase
416,417,COG2959,R,"Proteobacterial HemX domain, involved in 2-ketogluconate production (unrelated to B. subtilis HemX, COG0755, no evidence of involvement in heme biosynthesis)"
678,680,COG2960,H,Ubiquinone biosynthesis accessory factor UbiK
606,608,COG2961,J,23S rRNA A2030 N6-methylase RlmJ
874,994,COG2962,R,"Membrane protein RarD, contains two EamA domains, drug/metabolite transporter family"
880,2642,COG2963,X,Transposase InsE and inactivated derivatives
347,464,COG2964,K,"Predicted transcriptional regulator YheO, contains PAS and DNA-binding HTH domains"
758,760,COG2967,P,Uncharacterized conserved protein ApaG affecting Mg2+/Co2+ transport
489,491,COG2969,O,"Stringent starvation protein B, binds SsrA peptide"
417,465,COG2974,L,DNA recombination-dependent growth factor RdgC
320,321,COG2975,O,Fe-S-cluster formation regulator IscX/YfhJ
611,639,COG2976,T,"Putative negative regulator of RcsB-dependent stress response, UPF0070 family"
267,296,COG2977,Q,4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)
261,291,COG2979,S,"Uncharacterized membrane protein YebE, DUF533 family"
489,489,COG2980,M,Outer membrane lipoprotein LptE/RlpB (LPS assembly)
624,626,COG2981,E P,Sulfate transporter CysZ
807,1260,COG2982,M,Uncharacterized conserved protein AsmA involved in outer membrane biogenesis
553,559,COG2983,R,"Uncharacterized cysteine cluster protein YcgN, CxxCxxCC family"
734,1407,COG2984,R,"ABC-type uncharacterized transport system, periplasmic component"
969,1300,COG2986,E,Histidine ammonia-lyase
896,947,COG2987,E,Urocanate hydratase
331,378,COG2988,E,Succinylglutamate desuccinylase
134,175,COG2990,S,"Outer membrane protein VirK/YbjX involved in antimicrobial peptide resistance, DUF535 family"
801,944,COG2993,C,"Cbb3-type cytochrome oxidase, cytochrome c subunit FixO"
454,758,COG2995,M,Intermembrane transporter PqiABC subunit PqiA
569,572,COG2996,R,"Predicted RNA-binding protein YitL, contains S1 domains, virulence factor B family"
843,1105,COG3004,C P,Na+/H+ antiporter NhaA
243,251,COG3007,I,Trans-2-enoyl-CoA reductase
429,533,COG3008,M,Intermembrane transporter PqiABC subunit PqiB
393,437,COG3009,M,Intermembrane transporter PqiABC lipoprotein subunit PqiC
827,989,COG3011,R,"Predicted thiol-disulfide oxidoreductase YuxK, DCC family"
756,798,COG3012,S,"Uncharacterized conserved protein YchJ, contains N- and C-terminal SEC-C domains"
437,476,COG3016,R,"Putative heme-binding protein PhuW, contains EreA/ChaN-like domain"
466,467,COG3017,M,"Outer membrane lipoprotein LolB, involved in outer membrane biogenesis"
406,554,COG3019,S,"Uncharacterized metal-binding protein, DUF411 family"
990,1005,COG3022,L,DNA-binding protein YaaA associated with the oxidative stress response
1126,1566,COG3023,M,N-acetyl-anhydromuramyl-L-alanine amidase AmpD
752,752,COG3024,L,"Endogenous inhibitor of DNA gyrase, YacG/DUF329 family"
450,474,COG3025,P,"Inorganic triphosphatase YgiF, contains CYTH and CHAD domains"
390,392,COG3026,T,"RseB, negative regulator of sigma E activity"
1007,1014,COG3027,D,"Cell division protein ZapA, inhibits GTPase activity of FtsZ"
470,471,COG3028,J,"Ribosomal 50S subunit-associated protein YjgA, DUF615 family"
841,845,COG3030,R,"FxsA protein affecting phage T7 exclusion by the F plasmid, UPF0716 family"
615,793,COG3034,M,"Murein L,D-transpeptidase YafK"
102,103,COG3036,J,Stalled ribosome alternative rescue factor ArfA
666,1215,COG3038,C,Cytochrome b561
228,611,COG3039,X,"Transposase and inactivated derivatives, IS5 family"
446,523,COG3040,M,Bacterial lipocalin Blc
362,363,COG3045,T,Periplasmic catabolite regulation protein CreA (function unknown)
521,527,COG3046,R,Uncharacterized conserved protein related to deoxyribodipyrimidine photolyase
491,626,COG3047,M,Outer membrane protein OmpW
158,160,COG3056,S,Uncharacterized lipoprotein YajG
270,303,COG3058,O C,Formate dehydrogenase maturation protein FdhE
238,315,COG3061,D,Cell division protein YtfB/OapA (opacity-associated protein A)
1453,5027,COG3063,N W,"Type IV pilus assembly pilotin PilF, contains TPR repeats"
152,158,COG3067,C P,Na+/H+ antiporter NhaB
455,482,COG3070,K,"Transcriptional regulator of competence genes, TfoX/Sxy family"
591,718,COG3071,S,"Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY)"
179,183,COG3072,T,"Adenylate cyclase, class I"
381,381,COG3073,T,"RseA, negative regulator of sigma E activity"
297,299,COG3079,S,"Uncharacterized conserved protein YgfB, UPF0149 family"
207,215,COG3081,L,dsDNA-binding nucleoid-associated protein YejK/NdpA
858,1174,COG3087,D,Cell division protein FtsN
716,790,COG3088,O C,Cytochrome c-type biogenesis protein CcmH/NrfF
204,205,COG3089,S,"Uncharacterized conserved protein YheU, UPF0270 family"
859,3706,COG3090,G,"TRAP-type C4-dicarboxylate transport system, small permease component YiaM"
393,408,COG3091,R,"Predicted Zn-dependent metalloprotease, SprT family"
765,1295,COG3093,V,"Plasmid maintenance system antidote protein VapI/HigA, contains XRE-type HTH domain"
201,201,COG3098,S,"Uncharacterized conserved protein YqcC, DUF446 family"
250,251,COG3100,S,"Uncharacterized conserved protein YcgL, UPF0745 family"
681,1107,COG3103,R,"Uncharacterized conserved protein YgiM, contains N-terminal SH3 domain, DUF1202 family"
211,211,COG3105,D,"Membrane-anchored cell division protein YhcB, DUF1043 family"
373,378,COG3107,M,"Outer membrane lipoprotein LpoA, binds and activates PBP1a"
530,737,COG3108,S,"Uncharacterized conserved protein YcbK, DUF882 family"
258,283,COG3109,T,sRNA-binding protein ProQ
159,228,COG3111,S,"Predicted periplasmic protein YdeI with OB-fold, BOF family"
509,653,COG3113,M,MlaB (STAS domain) subunit of the ABC-type intermembrane phospholipid transporter Mla
313,317,COG3114,U,Heme exporter protein D
414,421,COG3115,D,"Cell division protein ZipA, interacts with FtsZ"
477,477,COG3116,D,"Cell division protein FtsL, interacts with FtsB and FtsQ"
601,603,COG3117,M,Lipopolysaccharide export system protein LptC
2205,6058,COG3118,O,"Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family"
1017,8373,COG3119,P,"Arylsulfatase A or related enzyme, AlkP superfamily"
263,850,COG3121,W,"P pilus assembly protein, chaperone PapD"
235,254,COG3122,S,"Uncharacterized conserved protein YaiL, DUF2058 family"
380,390,COG3123,F,"Pyrimidine/purine nucleoside phosphorylase YaiE/PpnP, UPF0345/DUF1255 family"
372,374,COG3124,I,Acyl carrier protein phosphodiesterase
400,506,COG3125,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 4"
218,233,COG3126,U,"Type III secretion system pilotin YscW/InvH/MxiM, SctG/YbaY family"
1040,1333,COG3127,Q,"Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component"
437,557,COG3128,R,Predicted 2-oxoglutarate- and Fe(II)-dependent dioxygenase YbiX
239,242,COG3129,J,23S rRNA A1618 N6-methylase RlmF
163,177,COG3130,J,Ribosome modulation factor
341,533,COG3131,M,Periplasmic glucan biosynthesis protein OpgG
310,314,COG3132,S,"Uncharacterized conserved protein YceH, UPF0502 family"
325,398,COG3133,M,Outer membrane lipoprotein SlyB
209,270,COG3134,S,"Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain"
386,442,COG3135,Q,Predicted benzoate:H+ symporter BenE
75,75,COG3136,S,"Dual-topology membrane protein YdgC, GlpM family"
251,342,COG3138,E,Arginine/ornithine N-succinyltransferase beta subunit
176,176,COG3139,S,"Uncharacterized conserved protein YeaC, DUF1315 family"
126,130,COG3141,L,"dsDNA-binding SOS-regulon protein YebG, induction by DNA damage requires cAMP"
411,501,COG3143,T N,"Phosphoaspartate phosphatase CheZ, dephosphorylates CheY~P"
762,824,COG3144,N,Flagellar hook-length control protein FliK
780,907,COG3145,L,Alkylated DNA repair dioxygenase AlkB
683,743,COG3146,R,Predicted N-acyltransferase
648,784,COG3147,D,Cell division protein DedD (periplasmic protein involved in septation)
271,380,COG3148,J,"tRNA U47 aminocarboxypropyltransferaseTapT/TuaA/ YfiP, DTW domain"
402,481,COG3150,R,"Predicted esterase YcpF, UPF0227 family"
240,242,COG3151,S,"Uncharacterized conserved protein YqiB, DUF1249 family"
1344,2755,COG3153,R,Predicted N-acetyltransferase YhbS
213,214,COG3155,V,"Glyoxalase ElbB, DJ-1 superfamily"
507,589,COG3156,U,"Type II secretory pathway, component PulK"
351,730,COG3157,U,Type VI secretion system tube protein TssD/Hcp
631,828,COG3158,P,K+ uptake protein Kup
549,610,COG3159,S,"Uncharacterized conserved protein YigA, DUF484 family"
170,172,COG3160,K,Regulator of sigma D
522,530,COG3161,H,4-hydroxybenzoate synthetase (chorismate-pyruvate lyase)
453,545,COG3162,S,"Uncharacterized membrane protein, DUF485 family"
608,626,COG3164,M,"Phospholipid transporter to the outer membrane, contains AsmA2 domain"
452,457,COG3165,H,"Ubiquinone biosynthesis protein UbiJ, contains SCP2 domain"
635,690,COG3166,N U,Type II secretion system/type IV pilus alignment protein GspM/PulM/PilN
546,564,COG3167,N U,Type II secretion system/type IV pilus alignment protein PilO
378,380,COG3168,N U,Type IV pilus assembly protein PilP
464,607,COG3170,N U,Type IV pilus assembly protein FimV
140,145,COG3171,S,"Uncharacterized conserved protein YggL, DUF469 family"
397,431,COG3172,H,Nicotinamide riboside kinase
944,2283,COG3173,R,"Predicted kinase, aminoglycoside phosphotransferase (APT) family"
499,506,COG3175,O C,Cytochrome c oxidase assembly protein Cox11
824,1143,COG3176,R,GNAT family N-acetyltransferase domain
742,748,COG3178,R,"Predicted phosphotransferase, aminoglycoside/choline kinase (APH/ChoK) family"
271,407,COG3179,G,"Chitinase, GH19 family"
473,618,COG3180,R,"Uncharacterized membrane protein AbrB, regulator of aidB expression"
605,6404,COG3181,C,"Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC"
742,1558,COG3182,P,"Integral membrane siderophore reductase FoxB, contains PepSY domain"
257,276,COG3184,S,"Uncharacterized conserved protein, contains DUF2059 domain"
1033,1468,COG3185,E R,4-hydroxyphenylpyruvate dioxygenase and related hemolysins
391,401,COG3186,E,Phenylalanine-4-hydroxylase
676,903,COG3187,O,Heat shock protein HslJ
270,815,COG3188,N W,Outer membrane usher protein FimD/PapC
590,629,COG3189,S,"Uncharacterized conserved protein YeaO, DUF488 family"
769,787,COG3190,N,Flagellar biogenesis protein FliO
667,871,COG3191,E,L-aminopeptidase/D-esterase
701,1097,COG3193,T,"Formaldehyde-binding sensor protein EfgA, GlcG/HbpS family"
329,391,COG3194,F,Ureidoglycolate hydrolase (allantoin degradation)
533,588,COG3195,F,2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase (uric acid degradation)
698,725,COG3197,O,"Cytochrome oxidase maturation protein, CcoS/FixS family"
243,245,COG3198,C,"Putative cytochrome oxidase assembly factor, CcoH/FixH family"
294,326,COG3199,F,NAD kinase
628,667,COG3200,E,"3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase, class II"
640,735,COG3201,H,Nicotinamide riboside transporter PnuC
228,368,COG3202,C,ATP/ADP translocase
456,1806,COG3203,M,Outer membrane porin OmpC/OmpF/PhoE
150,186,COG3204,R,Uncharacterized Ca-binding beta-propeller protein YjiK
1110,2709,COG3206,M,Exopolysaccharide export protein/domain GumC/Wzc1
328,670,COG3208,Q,Surfactin synthase thioesterase subunit
717,2583,COG3209,R,"Uncharacterized conserved protein RhaS, contains 28 RHS repeats"
700,971,COG3211,R,"Secreted phosphatase, PhoX family"
491,679,COG3212,O,"PepSY domain containing protein, regulator of zincin peptidase activity"
406,527,COG3213,T,Nitric oxide response protein NnrS
657,723,COG3216,S,"Uncharacterized conserved protein, DUF2062 family"
734,829,COG3217,V F,"N-hydroxylaminopurine reductase subunit YcbX, contains MOSC domain"
368,379,COG3218,R,"ABC-type uncharacterized transport system, auxiliary component"
218,238,COG3219,S,"Uncharacterized conserved protein, DUF2063 family"
511,669,COG3220,S,"Uncharacterized conserved protein, UPF0276 family"
996,2093,COG3221,P,"ABC-type phosphate/phosphonate transport system, periplasmic component"
163,169,COG3223,R,Phosphate starvation-inducible membrane PsiE (function unknown)
242,292,COG3224,R,Antibiotic biosynthesis monooxygenase (ABM) superfamily enzyme
291,613,COG3226,K,DNA-binding transcriptional regulator YbjK
468,533,COG3228,T,"Mlc titration factor MtfA, regulates ptsG expression"
254,272,COG3230,P,Heme oxygenase
120,128,COG3233,R,Predicted deacetylase
173,173,COG3235,R,Uncharacterized CbiM-related membrane protein
907,1325,COG3237,S,"Uncharacterized conserved protein YjbJ, UPF0337 family"
626,872,COG3238,S,"Uncharacterized membrane protein YdcZ, DUF606 family"
286,408,COG3240,I,"Phospholipase/lecithinase/hemolysin, may have acyltransferase activity"
192,279,COG3241,C,Azurin
662,1299,COG3243,I,Poly-beta-hydroxybutyrate synthase
348,512,COG3245,C,Cytochrome c5
545,1041,COG3246,S,"Uncharacterized conserved protein, DUF849 family"
163,193,COG3248,M,Nucleoside-specific outer membrane channel protein Tsx
165,167,COG3249,S,"Uncharacterized conserved protein, DUF2066 domain"
247,410,COG3251,Q,"MbtH family protein, regulates adenylation domains of NRPSs"
430,559,COG3255,I,"Putative sterol carrier protein, contains SCP2 domain"
287,317,COG3257,F,Ureidoglycine aminohydrolase
528,872,COG3258,P,"Thiosulfate dehydrogenase TsdA, contains C-terminal cytochrome c domain"
608,691,COG3263,C P,NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains
1390,2777,COG3264,M,Small-conductance mechanosensitive channel MscK
630,719,COG3265,G,Gluconate kinase
408,504,COG3266,D,"Cell division protein DamX, binds to the septal ring, contains C-terminal SPOR domain"
607,1188,COG3267,W U,Type II secretory pathway ATPase component GspA/ExeA/MshM
154,187,COG3271,U,"Predicted double-glycine leader peptidase, C39-like (CLD) domain"
353,372,COG3272,S,"Uncharacterized conserved protein YbgA, DUF1722 family"
576,594,COG3276,J,Selenocysteine-specific translation elongation factor SelB
785,931,COG3278,C,"Cbb3-type cytochrome oxidase, subunit 1"
1066,3985,COG3279,K T,"DNA-binding response regulator, LytR/AlgR family"
473,484,COG3280,G,Maltooligosyltrehalose synthase
436,472,COG3281,G,Predicted trehalose synthase
156,167,COG3283,K E,Transcriptional regulator TyrR of aromatic amino acids metabolism
547,940,COG3284,K,Transcriptional regulator DhaR of acetoin/glycerol metabolism
589,951,COG3285,L,Eukaryotic-type DNA primase
457,632,COG3287,T,"NO-sensing heme protein NosP, contains FIST domain"
1016,1744,COG3288,C,NAD/NADP transhydrogenase alpha subunit
489,1737,COG3293,X,Transposase
426,563,COG3296,R,"Uncharacterized Tic20-related protein, DUF4870 domain"
314,422,COG3299,X,Uncharacterized phage protein gp47/JayE
381,532,COG3300,T,"MHYT domain, NO-binding membrane sensor"
257,258,COG3308,S,Uncharacterized membrane protein
903,1682,COG3311,K X,DNA-binding transcriptional regulator AlpA
231,231,COG3312,C,FoF1-type ATP synthase accessory protein AtpI
537,724,COG3313,R,"Predicted Fe-S protein YdhL, DUF1289 family"
428,436,COG3317,M,Outer membrane beta-barrel protein assembly factor BamC
624,841,COG3318,S,"Uncharacterized conserved protein YecA, UPF0149 family, contains C-terminal Zn-binding SEC-C motif"
531,1234,COG3319,Q,Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase
452,704,COG3320,Q,Thioester reductase domain of alpha aminoadipate reductase Lys2 and NRPSs
271,376,COG3322,T,Iron-binding extracellular (periplasmic) sensor domain CHASE4
618,631,COG3323,S,"PII-like insert in the uncharacterized protein YqfO, YbgI/NIF3 family"
1109,2937,COG3324,R,"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family"
546,563,COG3326,S,"Uncharacterized membrane protein YsdA, DUF1294 family"
319,443,COG3327,K,DNA-binding transcriptional regulator PaaX (phenylacetic acid degradation)
457,459,COG3332,R,"Uncharacterized stress-responsive protein, TANGO2 (Transport and Golgi organisation 2) family, contains NRDE motif"
584,1809,COG3333,R,TctA family transporter
715,897,COG3339,S,"Uncharacterized membrane protein YkvA, DUF1232 family"
400,492,COG3342,R,"Uncharacterized conserved protein, Ntn-hydrolase superfamily"
697,2148,COG3344,X,Retron-type reverse transcriptase
726,955,COG3346,O,Cytochrome oxidase assembly protein ShyY1
523,621,COG3360,R,Flavin-binding protein dodecin
361,379,COG3380,R,Predicted NAD/FAD-dependent oxidoreductase
1283,2369,COG3383,C,"Mo-containing formate dehydrogenase ForCE, catalytic subunit"
766,1079,COG3384,Q,"Aromatic ring-opening dioxygenase, catalytic subunit, LigB family"
1018,2696,COG3386,G,Sugar lactone lactonase YvrE
834,1442,COG3387,G,"Glucoamylase (glucan-1,4-alpha-glucosidase), GH15 family"
1110,2900,COG3391,R,DNA-binding beta-propeller fold protein YncE
467,1029,COG3396,Q,"1,2-phenylacetyl-CoA epoxidase, catalytic subunit"
152,165,COG3403,S,"Uncharacterized conserved protein YcgG, contains conserved FPC and CPF motifs"
327,398,COG3405,G,"Endo-1,4-beta-D-glucanase Y"
676,2601,COG3415,V,"CRISPR-associated protein Csa3, CARF domain"
176,187,COG3416,S,"Uncharacterized conserved protein, DUF2076 domain"
245,255,COG3418,N U,Flagellar biosynthesis/type III secretory pathway chaperone FlgN
440,555,COG3422,S,"Uncharacterized conserved protein YegP, UPF0339 family"
442,1945,COG3436,X,Accessory protein of IS66 transposable element
912,2438,COG3437,T,"Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains"
1218,2159,COG3448,T,CBS-domain-containing membrane protein
409,542,COG3449,L,DNA gyrase inhibitor GyrI/SbmC
384,590,COG3450,R,Predicted enzyme of the cupin superfamily
337,472,COG3455,U,Type VI secretion system membrane component TssL/VasF/DotU
271,328,COG3456,U,"Type VI secretion system component, contains N-terminal FHA domain"
414,436,COG3460,Q,"1,2-phenylacetyl-CoA epoxidase, PaaB subunit"
158,515,COG3468,M U,Autotransporter adhesin AidA
193,196,COG3471,S,Predicted secreted (periplasmic) protein
316,531,COG3473,Q,Maleate cis-trans isomerase
424,441,COG3484,O,Predicted proteasome-type protease
600,1334,COG3485,Q,"Protocatechuate 3,4-dioxygenase beta subunit"
296,374,COG3486,Q,Lysine/ornithine N-monooxygenase
276,286,COG3487,S,"Imelysin-like iron-regulated protein IrpA, duplicated M75 peptidase-like domain"
381,484,COG3488,R,"Uncharacterized conserved protein with two CxxC motifs, DUF1111 family"
314,352,COG3489,R,"Imelysin-like iron-regulated protein IrpA, duplicated M75 peptidase-like domain"
204,210,COG3490,S,"Uncharacterized conserved protein, DUF1513 domain"
319,320,COG3492,S,"Uncharacterized conserved protein, DUF1244 family"
208,253,COG3495,S,"Uncharacterized conserved protein, DUF3299 family"
504,509,COG3496,S,"Uncharacterized conserved protein, DUF1365 family"
438,669,COG3497,X,Phage tail sheath protein FI
165,235,COG3498,X,Phage tail tube protein FII
153,218,COG3499,X,Phage protein U
318,453,COG3500,X,Phage protein D
505,1461,COG3501,U X,"Type VI secretion system spike component VgrG,"
416,499,COG3503,R,"Integral membrane N-acetyltransferase, HGSNAT/DUF1624 family"
590,616,COG3508,Q,"Homogentisate 1,2-dioxygenase"
279,466,COG3514,V,Antitoxin component of the BrnT-BrnA toxin-antitoxin system
312,465,COG3515,U,"Type VI secretion system cap component TssA/VasJ/EvfE, contains ImpA_N domain"
335,489,COG3516,U,Type VI secretion system sheath component TssB/VipA/Hcp2
332,569,COG3517,U,Type VI secretion system sheath component TssC/VipB
328,436,COG3518,U,Type VI secretion system baseplate component TssE
333,472,COG3519,U,Type VI secretion system baseplate component TssF/VasA
330,447,COG3520,U,Type VI secretion system baseplate component TssG
227,304,COG3521,U,Type VI secretion system outer membrane lipoprotein TssJ/VasD/EvfM/SciN/Cytochrome oxidase assembly protein CtaK
342,477,COG3522,U,Type VI secretion system baseplate component TssK/ImpJ/VasE
328,491,COG3523,U,Type VI secretion system membrane component TssM/ImcF/VasK
326,333,COG3526,R,"Predicted selenoprotein, Rdx family"
186,186,COG3529,R,"Predicted nucleic-acid-binding protein, contains Zn-ribbon domain"
386,393,COG3530,S,"Uncharacterized conserved protein, DUF3820 family"
232,262,COG3531,O,"Predicted protein-disulfide isomerase, contains CxxC motif"
558,621,COG3536,R,Putative dioxygenase with GBBH-like_N/DUF971 domain
101,1176,COG3539,N,Pilin (type 1 fimbrial protein)
435,573,COG3545,R,Predicted esterase of the alpha/beta hydrolase fold
919,3058,COG3547,X,Transposase
466,680,COG3549,V,Plasmid maintenance system killer protein
257,350,COG3555,O,"Aspartyl/asparaginyl beta-hydroxylase, cupin superfamily"
380,412,COG3558,S,"Uncharacterized conserved protein, nuclear transport factor 2 (NTF2) superfamily"
387,421,COG3565,R,Predicted dioxygenase of extradiol dioxygenase family
1321,2572,COG3568,R,"Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family"
424,434,COG3569,L,DNA topoisomerase IB
351,361,COG3571,R,Predicted hydrolase of the alpha/beta-hydrolase fold
628,977,COG3576,R,"Predicted flavin-nucleotide-binding protein, pyridoxine 5'-phosphate oxidase superfamily"
566,809,COG3577,R,Predicted aspartyl protease
666,890,COG3585,H,Molybdopterin-binding protein MopI
782,1064,COG3593,L,"Predicted ATP-dependent endonuclease of the OLD family, contains P-loop ATPase and TOPRIM domains"
797,1788,COG3604,K T,"FhlA-type transcriptional regulator, contains GAF, AAA-type ATPase, and DNA-binding Fis domains"
694,816,COG3605,T,Signal transduction protein containing GAF and PtsI domains
822,1478,COG3608,R,Predicted deacylase
398,651,COG3614,T,Extracytoplasmic sensor domain CHASE1 (specificity unknown)
630,1230,COG3618,R,"Predicted metal-dependent hydrolase, TIM-barrel fold"
564,673,COG3619,S,"Uncharacterized membrane protein YoaK, UPF0700 family"
1126,1747,COG3620,K,"Predicted transcriptional regulator, contains an XRE-type HTH domain (archaeal members contain CBS pair)"
640,892,COG3622,G,"Hydroxypyruvate/dehydroerythronate isomerase, Hyi/OtnI family"
400,553,COG3628,X,Phage baseplate assembly protein W
719,1431,COG3631,R,Ketosteroid isomerase-related protein
250,256,COG3633,E,Na+/serine and Na+/threonine symporter SstT
626,667,COG3634,V,Alkyl hydroperoxide reductase subunit AhpF
316,501,COG3636,X,"Uncharacterized Zn-binding protein, DUF971 domain"
676,922,COG3638,P,"ABC-type phosphate/phosphonate transport system, ATPase component"
680,1386,COG3639,P,"ABC-type phosphate/phosphonate transport system, permease component"
191,201,COG3650,S,Uncharacterized membrane protein
286,460,COG3652,S,"Predicted outer membrane protein, contains DUF4142 domain"
288,538,COG3659,M,Carbohydrate-selective porin OprB
295,495,COG3662,Q,"Rubber oxygenase, MpaB/RoxA/DUF2236 family"
501,1264,COG3666,X,"Transposase, IS1182 family"
240,351,COG3667,P,Uncharacterized conserved protein involved in copper resistance
781,1874,COG3668,X,Plasmid stabilization system protein ParE
319,489,COG3672,O,Predicted transglutaminase-like protein
358,472,COG3678,O,"Periplasmic chaperone Spy, Spy/CpxP family"
364,423,COG3686,S,"Uncharacterized conserved protein, MAPEG superfamily"
39,39,COG3692,S,"Uncharacterized conserved protein YifN, PemK superfamily"
848,905,COG3695,K,"Alkylated DNA nucleotide flippase Atl1, participates in nucleotide excision repair, Ada-like DNA-binding domain"
835,2230,COG3696,P,Cu/Ag efflux pump CusA
435,552,COG3703,P,Gamma-glutamylcyclotransferase ChaC2 (glutathione degradation)
923,923,COG3705,E,ATP phosphoribosyltransferase regulatory subunit HisZ
1234,5588,COG3706,K T,"Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain"
868,1390,COG3707,K T,"Two-component response regulator, AmiR/NasT family, consists of REC and RNA-binding antiterminator (ANTAR) domains"
245,256,COG3709,G,"Ribose 1,5-bisphosphate kinase PhnN"
389,1114,COG3710,K,DNA-binding winged helix-turn-helix (wHTH) domain
509,2902,COG3712,T P,"Periplasmic ferric-dicitrate binding protein FecR, regulates iron transport"
305,314,COG3714,S,Uncharacterized membrane protein YhhN
216,221,COG3724,E,Succinylarginine dihydrolase
168,168,COG3725,V,Membrane protein AmpE required for beta-lactamase induction
146,147,COG3726,S,Uncharacterized membrane protein Smp affecting hemolysin expression
188,227,COG3728,X,"Phage terminase, small subunit"
93,142,COG3729,R,"General stress protein YciG, contains tandem KGG domains"
395,507,COG3740,X,Phage head maturation protease
517,715,COG3741,E,N-formylglutamate amidohydrolase
306,476,COG3746,P,Phosphate-selective porin
213,276,COG3747,X,"Phage terminase, small subunit"
393,424,COG3748,S,Uncharacterized membrane protein
436,454,COG3749,S,"Uncharacterized conserved protein, DUF934 family"
388,482,COG3751,J O,"Proline 4-hydroxylase (includes Rps23 Pro-64 3,4-dihydroxylase Tpa1), contains SM-20 domain"
403,520,COG3755,S,"Uncharacterized conserved protein YecT, DUF1311 family"
307,325,COG3758,S,Various environmental stresses-induced protein Ves (function unknown)
479,491,COG3762,S,Uncharacterized membrane protein
79,85,COG3767,S,Uncharacterized low-complexity protein
515,1028,COG3773,D M,"Cell wall hydrolase CwlJ, involved in spore germination"
90,91,COG3776,S,"Uncharacterized conserved protein YhhL, DUF1145 family"
78,90,COG3778,X,"Uncharacterized conserved protein YmfQ in lambdoid prophage, DUF2313 family"
395,580,COG3781,P,"Predicted membrane chloride channel, bestrophin family"
187,187,COG3782,S,"Uncharacterized conserved protein, DUF1853 domain"
655,2232,COG3791,S,Uncharacterized conserved protein
230,258,COG3793,P,Tellurite resistance protein TerB
537,1693,COG3795,Q,"5-chloro-2-hydroxyhydroquinone dehydrochlorinase TtfG, YCII superfamily"
526,564,COG3803,S,"Uncharacterized conserved protein, DUF924 family"
90,93,COG3805,Q,Aromatic ring-cleaving dioxygenase
244,318,COG3812,S,"Uncharacterized conserved protein, DUF1993 domain"
195,197,COG3813,S,"Uncharacterized conserved protein, DUF1272 domain"
349,350,COG3816,S,"Uncharacterized conserved protein, DUF1285 family"
257,263,COG3821,S,Uncharacterized membrane protein
470,490,COG3825,S,"Uncharacterized CoxE-like protein, contains von Willebrand factor type A (vWA) domain"
